"name","type","source","code","mean","sd","lowend","highend","mid","low","up","ymax","ymin"
"Dry","TS3","Floc","Bluefin Killifish",0.401,0.284,0,0.89,0.4,0.136,0.643,0.89,0
"Dry","TS3","Periphyton","Bluefin Killifish",0.252,0.263,0,0.969,0.159,0.051,0.367,0.841,0
"Dry","TS3","Phytoplankton","Bluefin Killifish",0.171,0.185,0,0.636,0.097,0.025,0.275,0.636,0
"Dry","TS3","Sawgrass","Bluefin Killifish",0.176,0.23,0,0.968,0.093,0.029,0.214,0.4915,0
"Dry","TS3","Floc","Eastern Grass Shrimp",0.401,0.263,0,0.862,0.403,0.175,0.618,0.862,0
"Dry","TS3","Periphyton","Eastern Grass Shrimp",0.175,0.187,0,0.704,0.114,0.035,0.251,0.575,0
"Dry","TS3","Phytoplankton","Eastern Grass Shrimp",0.275,0.232,0.001,0.816,0.221,0.074,0.43,0.816,0.001
"Dry","TS3","Sawgrass","Eastern Grass Shrimp",0.149,0.17,0,0.609,0.092,0.032,0.204,0.462,0
"Dry","TS3","Floc","Eastern Mosquitofish",0.402,0.287,0,0.901,0.401,0.138,0.649,0.901,0
"Dry","TS3","Periphyton","Eastern Mosquitofish",0.256,0.27,0,0.977,0.159,0.048,0.37,0.853,0
"Dry","TS3","Phytoplankton","Eastern Mosquitofish",0.136,0.158,0,0.556,0.068,0.016,0.206,0.491,0
"Dry","TS3","Sawgrass","Eastern Mosquitofish",0.206,0.254,0,0.996,0.109,0.035,0.265,0.61,0
"Wet","TS3","Floc","Asian Swamp Eel",0.442,0.355,0,0.987,0.407,0.076,0.793,0.987,0
"Wet","TS3","Periphyton","Asian Swamp Eel",0.305,0.342,0,0.999,0.129,0.017,0.571,0.999,0
"Wet","TS3","Phytoplankton","Asian Swamp Eel",0.025,0.035,0,0.124,0.012,0.002,0.032,0.077,0
"Wet","TS3","Sawgrass","Asian Swamp Eel",0.228,0.304,0,0.997,0.078,0.012,0.319,0.7795,0
"Wet","TS3","Floc","Bluefin Killifish",0.438,0.318,0,0.955,0.438,0.124,0.726,0.955,0
"Wet","TS3","Periphyton","Bluefin Killifish",0.295,0.311,0,0.978,0.166,0.028,0.509,0.978,0
"Wet","TS3","Phytoplankton","Bluefin Killifish",0.054,0.069,0,0.252,0.03,0.009,0.074,0.1715,0
"Wet","TS3","Sawgrass","Bluefin Killifish",0.213,0.27,0,0.97,0.087,0.017,0.316,0.7645,0
"Wet","TS3","Floc","Bluegill",0.656,0.312,0.006,1,0.761,0.432,0.924,1,0.006
"Wet","TS3","Periphyton","Bluegill",0.171,0.231,0,0.841,0.064,0.01,0.239,0.5825,0
"Wet","TS3","Phytoplankton","Bluegill",0.036,0.07,0,0.225,0.014,0.003,0.038,0.0905,0
"Wet","TS3","Sawgrass","Bluegill",0.137,0.209,0,0.827,0.045,0.007,0.172,0.4195,0
"Wet","TS3","Floc","Eastern Grass Shrimp",0.457,0.295,0,0.944,0.471,0.19,0.706,0.944,0
"Wet","TS3","Periphyton","Eastern Grass Shrimp",0.214,0.236,0,0.818,0.119,0.025,0.34,0.8125,0
"Wet","TS3","Phytoplankton","Eastern Grass Shrimp",0.138,0.174,0,0.629,0.066,0.022,0.185,0.4295,0
"Wet","TS3","Sawgrass","Eastern Grass Shrimp",0.192,0.222,0,0.806,0.102,0.023,0.299,0.713,0
"Wet","TS3","Floc","Eastern Mosquitofish",0.428,0.318,0,0.956,0.421,0.112,0.712,0.956,0
"Wet","TS3","Periphyton","Eastern Mosquitofish",0.291,0.313,0,0.98,0.153,0.028,0.502,0.98,0
"Wet","TS3","Phytoplankton","Eastern Mosquitofish",0.04,0.054,0,0.182,0.022,0.006,0.052,0.121,0
"Wet","TS3","Sawgrass","Eastern Mosquitofish",0.241,0.292,0,0.996,0.105,0.018,0.368,0.893,0
"Wet","TS3","Floc","Gar",0.546,0.345,0,1,0.597,0.226,0.877,1,0
"Wet","TS3","Periphyton","Gar",0.221,0.276,0,0.951,0.088,0.012,0.347,0.8495,0
"Wet","TS3","Phytoplankton","Gar",0.029,0.043,0,0.154,0.014,0.002,0.037,0.0895,0
"Wet","TS3","Sawgrass","Gar",0.204,0.277,0,0.992,0.073,0.01,0.293,0.7175,0
"Wet","TS3","Floc","Golden Topminnow",0.526,0.341,0,0.991,0.581,0.195,0.844,0.991,0
"Wet","TS3","Periphyton","Golden Topminnow",0.246,0.295,0,0.987,0.109,0.017,0.388,0.9445,0
"Wet","TS3","Phytoplankton","Golden Topminnow",0.032,0.043,0,0.147,0.017,0.004,0.041,0.0965,0
"Wet","TS3","Sawgrass","Golden Topminnow",0.197,0.269,0,0.981,0.072,0.013,0.265,0.643,0
"Wet","TS3","Floc","Largemouth Bass",0.586,0.338,0,1,0.663,0.288,0.899,1,0
"Wet","TS3","Periphyton","Largemouth Bass",0.205,0.264,0,0.917,0.08,0.011,0.319,0.781,0
"Wet","TS3","Phytoplankton","Largemouth Bass",0.03,0.046,0,0.16,0.013,0.003,0.038,0.0905,0
"Wet","TS3","Sawgrass","Largemouth Bass",0.179,0.252,0,0.942,0.062,0.009,0.242,0.5915,0
"Wet","TS3","Floc","Mayan Cichlid",0.534,0.316,0,0.963,0.602,0.259,0.814,0.963,0
"Wet","TS3","Periphyton","Mayan Cichlid",0.216,0.253,0,0.905,0.107,0.022,0.333,0.7995,0
"Wet","TS3","Phytoplankton","Mayan Cichlid",0.065,0.108,0,0.386,0.029,0.009,0.072,0.1665,0
"Wet","TS3","Sawgrass","Mayan Cichlid",0.185,0.244,0,0.935,0.081,0.017,0.255,0.612,0
"Wet","TS3","Floc","Peacock Eel",0.616,0.32,0.001,1,0.7,0.37,0.902,1,0.001
"Wet","TS3","Periphyton","Peacock Eel",0.187,0.242,0,0.888,0.079,0.012,0.269,0.6545,0
"Wet","TS3","Phytoplankton","Peacock Eel",0.034,0.055,0,0.176,0.015,0.003,0.04,0.0955,0
"Wet","TS3","Sawgrass","Peacock Eel",0.163,0.23,0,0.88,0.061,0.009,0.219,0.534,0
"Wet","TS3","Floc","Redear Sunfish",0.625,0.32,0,0.999,0.731,0.391,0.895,0.999,0
"Wet","TS3","Periphyton","Redear Sunfish",0.185,0.241,0,0.876,0.077,0.014,0.261,0.6315,0
"Wet","TS3","Phytoplankton","Redear Sunfish",0.045,0.091,0,0.306,0.018,0.005,0.045,0.105,0
"Wet","TS3","Sawgrass","Redear Sunfish",0.145,0.215,0,0.872,0.053,0.01,0.177,0.4275,0
